German_Headword,English_Meaning,Example_Sentence_DE,Example_Sentence_EN,,YouGlish_Link
"der Bus, -se",bus,Wann kommt der nächste <b>Bus</b>?,When is the next bus coming?,,https://youglish.com/pronounce/Bus/german
die Butter (kein Pl.),butter,Möchtest du <b>Butter</b> aufs Brot oder nur Käse?,Would you like butter on your bread or just cheese?,,https://youglish.com/pronounce/Butter/german
"das Café, -s",café,Kommst du mit ins <b>Café</b>?,Are you coming along to the café?,,https://youglish.com/pronounce/Café/german
"die Cafeteria, -s",cafeteria,Ich gehe jetzt in die <b>Cafeteria</b>.,I am going to the cafeteria now.,,https://youglish.com/pronounce/Cafeteria/german
chatten,to chat (online),Luis <b>chattet</b> gern mit seinen Freunden im Internet.,Luis likes chatting with his friends on the internet.,,https://youglish.com/pronounce/chatten/german
"der Chef, -s / die Chefin, -nen",boss / manager,Wir haben eine neue <b>Chefin</b>.,We have a new female boss.,,https://youglish.com/pronounce/Chef/german
"der Club/Klub, -s",club,Gibt es hier einen Tennis-<b>Club</b>?,Is there a tennis club here?,,https://youglish.com/pronounce/Club/german
"der/das Comic, -s",comic strip/book,Mein Sohn liest immer nur <b>Comics</b>.,My son only ever reads comics.,,https://youglish.com/pronounce/Comic/german
"der Computer, -",computer,Wann bekommst du deinen neuen <b>Computer</b>?,When do you get your new computer?,,https://youglish.com/pronounce/Computer/german
"die Creme, -s/-n",cream / lotion,Ich suche eine <b>Creme</b> für die Hände.,I am looking for a lotion for hands.,,https://youglish.com/pronounce/Creme/german
da,there / here,Ist Herr Klein schon <b>da</b>?,Is Mr. Klein already here?,,https://youglish.com/pronounce/da/german
da(r)-,about/on that,<b>Darüber</b> spreche ich nicht gern.,I do not like speaking about that.,,https://youglish.com/pronounce/da/german
"dabei sein | ist dabei, war dabei, ist dabei gewesen",to be present,"Schön, dass du da bist. Ist deine Familie auch <b>dabei</b>?",Nice that you are here. Is your family present too?,,https://youglish.com/pronounce/dabei/german
"dafür/dagegen sein | ist dafür/dagegen, war dafür/dagegen, ist dafür/dagegen gewesen",to be for/against,Ich bin <b>dafür</b>.,I am in favor of it.,,https://youglish.com/pronounce/dafür/german
damals,back then / at that time,"Als Student hatte ich viel Zeit, aber <b>damals</b> hatte ich kein Geld.","As a student I had plenty of time, but back then I had no money.",,https://youglish.com/pronounce/damals/german
"die Dame, -n",lady,"Sehr geehrte <b>Damen</b> und Herren,","Dear Ladies and Gentlemen,",,https://youglish.com/pronounce/Dame/german
daneben,next to it,"Du weißt doch, wo die Post ist. <b>Daneben</b> ist die Bank.",You know where the post office is. Next to it is the bank.,,https://youglish.com/pronounce/daneben/german
der Dank (kein Pl.),gratitude / thanks,Herzlichen <b>Dank</b>!,Heartfelt thanks!,,https://youglish.com/pronounce/Dank/german
danke,thank you / thanks,"Soll ich Ihnen helfen? - Sehr freundlich, ja <b>danke</b>!","Shall I help you? Very kind, yes thank you!",,https://youglish.com/pronounce/danke/german
danken für (+ Akk.),to thank for,Ich <b>danke</b> Ihnen für die Einladung.,I thank you for the invitation.,,https://youglish.com/pronounce/danken/german
dann,then,"Ich muss noch schnell zur Post, <b>dann</b> komme ich.","I just have to run quickly to the post office, then I'll come.",,https://youglish.com/pronounce/dann/german
dass,that (conjunction),"Rico hat gesagt, <b>dass</b> er auch zur Party kommt.",Rico said that he is also coming to the party.,,https://youglish.com/pronounce/dass/german
"die Datei, -en",file (data),Wo hast du die <b>Datei</b> gespeichert?,Where did you save the file?,,https://youglish.com/pronounce/Datei/german
"das Datum, -en",date (calendar),Bitte <b>Datum</b> und Unterschrift nicht vergessen!,Please do not forget the date and signature!,,https://youglish.com/pronounce/Datum/german
dauern,to last / take time,Wie lange <b>dauert</b> die Pause?,How long does the break last?,,https://youglish.com/pronounce/dauern/german
"denken an (+ Akk.) | denkt, dachte, hat gedacht",to think,"Ich <b>denke</b>, du hast recht.",I think you are right.,,https://youglish.com/pronounce/denken/german
denn,because / for,"Ich kann nicht kommen, <b>denn</b> ich bin krank.","I cannot come, because I am ill.",,https://youglish.com/pronounce/denn/german
deshalb,therefore / that's why,Ich bin krank. <b>Deshalb</b> komme ich heute nicht ins Büro.,I am sick. That's why I am not coming to the office today.,,https://youglish.com/pronounce/deshalb/german
deutlich,clear / distinct,Sprechen Sie bitte <b>deutlich</b>!,Please speak clearly!,,https://youglish.com/pronounce/deutlich/german
dick,thick / fat,Ich bin zu <b>dick</b>. Ich muss weniger essen.,I am too fat. I must eat less.,,https://youglish.com/pronounce/dick/german
"das Ding, -e",thing / object,Gib mir bitte mal das <b>Ding</b> da drüben!,Please give me that thing over there!,,https://youglish.com/pronounce/Ding/german
direkt,direct / directly,Wir wohnen <b>direkt</b> über dem Café.,We live directly above the café.,,https://youglish.com/pronounce/direkt/german
"die Disco/Disko, -s",disco / club,Wir gehen heute Abend in die <b>Disco</b>.,We are going to the disco tonight.,,https://youglish.com/pronounce/Disco/german
diskutieren über (+ Akk.),to discuss,Ich möchte das mit meinen Kollegen <b>diskutieren</b>.,I would like to discuss that with my colleagues.,,https://youglish.com/pronounce/diskutieren/german
doch,yes (after negative) / surely,"Hast du keinen Hunger? - <b>Doch</b>, ich bin sehr hungrig.","Aren't you hungry? - Yes, I am very hungry.",,https://youglish.com/pronounce/doch/german
"das Doppelzimmer, -",double room,Möchten Sie ein <b>Doppelzimmer</b> oder ein Einzelzimmer?,Would you like a double room or a single room?,,https://youglish.com/pronounce/Doppelzimmer/german
"das Dorf, -er",village,Meine Familie lebt in einem <b>Dorf</b>.,My family lives in a village.,,https://youglish.com/pronounce/Dorf/german
dort / dorther / dorthin,there / from/to there,"Wir treffen uns vor dem Kino. Gut, ich bin in fünf Minuten <b>dort</b>.","We meet in front of the cinema. Good, I'll be there in five minutes.",,https://youglish.com/pronounce/dort/german
draußen,outside / outdoors,Das Wetter ist so schön. Wollen wir <b>draußen</b> sitzen?,The weather is so nice. Shall we sit outside?,,https://youglish.com/pronounce/draußen/german
dringend,urgent,Bitte kommen Sie schnell. Es ist <b>dringend</b>.,Please come quickly. It is urgent.,,https://youglish.com/pronounce/dringend/german
drinnen,inside / indoors,Hier <b>drinnen</b> ist es sehr warm.,In here it is very warm.,,https://youglish.com/pronounce/drinnen/german
drüben,over there,Da <b>drüben</b> ist die Haltestelle.,Over there is the bus stop.,,https://youglish.com/pronounce/drüben/german
drücken,to push / press,"An dieser Tür musst du <b>drücken</b>, nicht ziehen.","On this door you have to push, not pull.",,https://youglish.com/pronounce/drücken/german
drucken,to print,Wähle einfach „Datei <b>drucken</b>“!,Simply select 'Print file'!,,https://youglish.com/pronounce/drucken/german
"der Drucker, -",printer,Mein <b>Drucker</b> ist kaputt.,My printer is broken.,,https://youglish.com/pronounce/Drucker/german
"dumm (dümmer, am dümmsten)",stupid / dumb,"Entschuldigung, das war <b>dumm</b> von mir.","Excuse me, that was stupid of me.",,https://youglish.com/pronounce/dumm/german
dunkel,dark,Um sechs Uhr ist es schon <b>dunkel</b>.,At six o'clock it is already dark.,,https://youglish.com/pronounce/dunkel/german
dünn,thin / slim,Das Buch ist sehr <b>dünn</b>. Es hat nur 40 Seiten.,The book is very thin. It has only 40 pages.,,https://youglish.com/pronounce/dünn/german
durch (+ Akk.),through,Wir fahren mit dem Fahrrad <b>durch</b> den Wald.,We ride our bicycles through the forest.,,https://youglish.com/pronounce/durch/german
"dürfen | darf, durfte, hat gedurft",may / to be allowed to,Sie <b>dürfen</b> hier nicht parken.,You are not allowed to park here.,,https://youglish.com/pronounce/dürfen/german
der Durst (kein Pl.),thirst,Hast du etwas zu trinken? Ich habe großen <b>Durst</b>.,Do you have something to drink? I am very thirsty.,,https://youglish.com/pronounce/Durst/german
"die Dusche, -n",shower,Unsere Wohnung hat nur eine <b>Dusche</b>.,Our apartment only has a shower.,,https://youglish.com/pronounce/Dusche/german
duschen (sich),to shower,"Ich bade nicht so gern, ich <b>dusche</b> lieber.","I don't like taking baths much, I prefer showering.",,https://youglish.com/pronounce/duschen/german
"das E-Book, -s",e-book,Liest du lieber <b>E-Books</b> oder Bücher aus Papier?,Do you prefer reading e-books or paper books?,,https://youglish.com/pronounce/E-Book/german
echt,real / genuine,Ist das Bild ein <b>echter</b> Picasso?,Is the painting a genuine Picasso?,,https://youglish.com/pronounce/echt/german
"die Ecke, -n",corner,Gehen Sie an der nächsten <b>Ecke</b> links.,Turn left at the next corner.,,https://youglish.com/pronounce/Ecke/german
egal,all the same / doesn't matter,Das ist mir <b>egal</b>.,It's all the same to me.,,https://youglish.com/pronounce/egal/german
"die Ehefrau, -en / der Ehemann, -er / der Ehepartner, -",spouse / wife / husband,Das ist mein <b>Ehemann</b>.,That is my husband.,,https://youglish.com/pronounce/Ehefrau/german
"das Ei, -er",egg,Möchtest du ein <b>Ei</b> zum Frühstück?,Would you like an egg for breakfast?,,https://youglish.com/pronounce/Ei/german
eigen-,own,Nicht alle Kinder haben ein <b>eigenes</b> Zimmer.,Not all children have their own room.,,https://youglish.com/pronounce/eigen/german
eigentlich,actually / really,"Wir wollten <b>eigentlich</b> Freunde besuchen, sind aber zu Hause geblieben.","We actually wanted to visit friends, but stayed home instead.",,https://youglish.com/pronounce/eigentlich/german
eilig,in a hurry,Hast du es <b>eilig</b>?,Are you in a hurry?,,https://youglish.com/pronounce/eilig/german
einfach,simple / easy,Die Prüfung ist ganz <b>einfach</b>.,The exam is quite easy.,,https://youglish.com/pronounce/einfach/german
"der Eingang, -e",entrance,Der <b>Eingang</b> ist um die Ecke.,The entrance is around the corner.,,https://youglish.com/pronounce/Eingang/german
einig-,some / a few,In diesem Text sind <b>einige</b> Fehler.,There are some mistakes in this text.,,https://youglish.com/pronounce/einig/german
einkaufen,to shop / purchase,Ich muss noch für morgen <b>einkaufen</b>.,I still need to go shopping for tomorrow.,,https://youglish.com/pronounce/einkaufen/german
"das Einkaufszentrum, -en",shopping mall,Kommst du morgen mit ins <b>Einkaufszentrum</b>?,Are you coming with me to the shopping mall tomorrow?,,https://youglish.com/pronounce/Einkaufszentrum/german
"einladen zu (+ Dat.) | lädt ein, lud ein, hat eingeladen",to invite,Darf ich Sie zu einem Kaffee <b>einladen</b>?,May I invite you for a coffee?,,https://youglish.com/pronounce/einladen/german
"die Einladung, -en",invitation,Danke für die <b>Einladung</b> zu deinem Geburtstag!,Thank you for the invitation to your birthday!,,https://youglish.com/pronounce/Einladung/german
einmal,once / one time,Rufen Sie mich bitte morgen noch <b>einmal</b> an.,Please call me once again tomorrow.,,https://youglish.com/pronounce/einmal/german
einpacken,to pack (up),Pack bitte die Handtücher <b>ein</b>!,Please pack the towels!,,https://youglish.com/pronounce/einpacken/german
"einsteigen in (+ Akk.) | steigt ein, stieg ein, ist eingestiegen",to board / get in,"Schnell, <b>steig ein</b>, der Zug fährt gleich ab.","Quick, get in, the train is about to leave.",,https://youglish.com/pronounce/einsteigen/german
"eintragen (sich) | trägt ein, trug ein, hat eingetragen",to register / enter name,Tragen Sie sich bitte in diese Liste <b>ein</b>!,Please enter your name on this list!,,https://youglish.com/pronounce/eintragen/german
"der Eintritt, -e",admission / entrance fee,Der <b>Eintritt</b> kostet fünf Euro.,Admission costs five euros.,,https://youglish.com/pronounce/Eintritt/german
"einverstanden sein | ist einverstanden, war einverstanden, ist einverstanden gewesen",to agree,"Gut, ich bin <b>einverstanden</b>.","Good, I agree.",,https://youglish.com/pronounce/einverstanden/german
einzel-,single / individual,Könnt ihr bitte <b>einzeln</b> sprechen?,Could you please speak one by one?,,https://youglish.com/pronounce/einzel/german
"einziehen | zieht ein, zog ein, ist eingezogen",to move in,Im Juni <b>ziehen</b> unsere neuen Nachbarn <b>ein</b>.,In June our new neighbors are moving in.,,https://youglish.com/pronounce/einziehen/german
das Eis (kein Pl.),ice cream / ice,Möchtest du auch ein <b>Eis</b>?,Would you like an ice cream too?,,https://youglish.com/pronounce/Eis/german
"die E-Mail, -s",email,Ich schreibe dir eine <b>E-Mail</b>.,I will write you an email.,,https://youglish.com/pronounce/E-Mail/german
"der Empfänger, -",recipient,"Auf dem Brief steht dein Name, also bist du der <b>Empfänger</b>.","Your name is on the letter, so you are the recipient.",,https://youglish.com/pronounce/Empfänger/german
"empfehlen | empfiehlt, empfahl, hat empfohlen",to recommend,Welchen Wein können Sie mir <b>empfehlen</b>?,Which wine can you recommend to me?,,https://youglish.com/pronounce/empfehlen/german
"das Ende, -n",end,Sie wohnt am <b>Ende</b> der Straße.,She lives at the end of the street.,,https://youglish.com/pronounce/Ende/german
enden,to end,Die Straße <b>endet</b> hier.,The street ends here.,,https://youglish.com/pronounce/enden/german
endlich,finally / at last,Wann kommst du <b>endlich</b>?,When are you finally coming?,,https://youglish.com/pronounce/endlich/german
eng,tight / narrow,Diese Hose ist zu <b>eng</b>.,These trousers are too tight.,,https://youglish.com/pronounce/eng/german
entschuldigen (sich) bei (+ Dat.) für (+ Akk.),to apologize,Ich möchte mich bei dir <b>entschuldigen</b>.,I would like to apologize to you.,,https://youglish.com/pronounce/entschuldigen/german
"die Entschuldigung, -en",excuse / apology,"Oh, <b>Entschuldigung</b>! Macht nichts.","Oh, excuse me! Never mind.",,https://youglish.com/pronounce/Entschuldigung/german
"das Erdgeschoss, -e",ground floor,Ich wohne im <b>Erdgeschoss</b>.,I live on the ground floor.,,https://youglish.com/pronounce/Erdgeschoss/german
"die Erfahrung, -en",experience,Ich habe zehn Jahre <b>Erfahrung</b> in diesem Beruf.,I have ten years of experience in this profession.,,https://youglish.com/pronounce/Erfahrung/german
erinnern (sich) an (+ Akk.),to remember / remind,<b>Erinnerst</b> du dich an José?,Do you remember José?,,https://youglish.com/pronounce/erinnern/german
"erkältet sein | ist erkältet, war erkältet, ist erkältet gewesen",to have a cold,Lisa ist <b>erkältet</b>. Sie kann heute nicht zur Schule gehen.,Lisa has a cold. She cannot go to school today.,,https://youglish.com/pronounce/erkältet/german
erklären,to explain,Ich verstehe das nicht. Kannst du mir das <b>erklären</b>?,I don't understand this. Can you explain it to me?,,https://youglish.com/pronounce/erklären/german
erlauben,to allow / permit,Meine Kinder dürfen diesen Film sehen. Ich habe es ihnen <b>erlaubt</b>.,My children may watch this film. I have allowed them to.,,https://youglish.com/pronounce/erlauben/german
